array_size,num_threads,bucket_capacity,random_time,distribute_time,sort_time,rewrite_time,total_time
16384,12,16,0.0141262388,0.0226674217,0.0081119406,0.0080524050,0.0388881542
16384,12,64,0.0024704756,0.0015200680,0.0000866190,0.0000228385,0.0016585367
16384,12,256,0.0020695182,0.0021118040,0.0001145663,0.0000167772,0.0022543935
16384,12,1024,0.0044727202,0.0088992963,0.0021824261,0.0018274480,0.0129126857
16384,12,4096,0.0128939668,0.0251458828,0.0086196347,0.0084348078,0.0422018257
16384,12,16384,0.0032672124,0.0064790652,0.0029802973,0.0013071126,0.0107674080
16384,12,65536,0.0101171681,0.0181604820,0.0065402960,0.0056485610,0.0303507718
65536,1,16,0.0003965376,0.0017408448,0.0021082500,0.0002303351,0.0041943220
65536,1,64,0.0003971604,0.0015272715,0.0031129598,0.0001843730,0.0048456213
65536,1,256,0.0003973817,0.0014458516,0.0040617009,0.0001740110,0.0056888941
65536,1,1024,0.0003952433,0.0014407114,0.0049107051,0.0001701509,0.0065301931
65536,1,4096,0.0003972840,0.0014322774,0.0058306698,0.0001698549,0.0074413650
65536,1,16384,0.0003962263,0.0014453659,0.0067529497,0.0001708897,0.0083798492
65536,1,65536,0.0003979984,0.0014130000,0.0077006829,0.0001706753,0.0093002275
65536,2,16,0.0002060821,0.0025469314,0.0010799879,0.0001228315,0.0038760324
65536,2,64,0.0002035107,0.0025250179,0.0015851297,0.0000967585,0.0042471278
65536,2,256,0.0002053552,0.0027647834,0.0020561202,0.0000890705,0.0049246138
65536,2,1024,0.0002041700,0.0032227121,0.0024908177,0.0000875986,0.0058081159
65536,2,4096,0.0002056809,0.0037600734,0.0029498857,0.0000867925,0.0068016208
65536,2,16384,0.0002051174,0.0043973728,0.0034664935,0.0000873040,0.0079567697
65536,2,65536,0.0002090484,0.0044138662,0.0077088587,0.0001758707,0.0123156583
65536,4,16,0.0001222930,0.0031036298,0.0005685210,0.0000864764,0.0039182433
65536,4,64,0.0001196851,0.0031901516,0.0008087381,0.0000605429,0.0041218181
65536,4,256,0.0001203192,0.0039355278,0.0010537769,0.0000562082,0.0050700858
65536,4,1024,0.0001193884,0.0052182227,0.0012970919,0.0000528607,0.0065744651
65536,4,4096,0.0001202854,0.0065506999,0.0015212640,0.0000497190,0.0081240880
65536,4,16384,0.0001196516,0.0069864025,0.0017624029,0.0000506973,0.0088114527
65536,4,65536,0.0001174096,0.0047897227,0.0077429389,0.0001764842,0.0127197155
65536,8,16,0.0000869371,0.0022202692,0.0003062380,0.0000679233,0.0027731638
65536,8,64,0.0000886366,0.0025076444,0.0004174776,0.0000417540,0.0030446254
65536,8,256,0.0000886459,0.0033165476,0.0005396519,0.0000366573,0.0039247735
65536,8,1024,0.0000906755,0.0042280030,0.0006687765,0.0000329875,0.0049376966
65536,8,4096,0.0000867858,0.0054708795,0.0007715976,0.0000332586,0.0062787767
65536,8,16384,0.0000841440,0.0064455724,0.0017555794,0.0000517934,0.0082575718
65536,8,65536,0.0000906802,0.0077052598,0.0077439306,0.0001951623,0.0156511473
65536,12,16,0.0005488882,0.0017036613,0.0002158431,0.0000634681,0.0021807754
65536,12,64,0.0076436867,0.0136911564,0.0047146506,0.0032553463,0.0217500990
65536,12,256,0.0028594396,0.0046697613,0.0003753034,0.0000320665,0.0051150126
65536,12,1024,0.0096711852,0.0204824326,0.0057183428,0.0053760144,0.0315862095
65536,12,4096,0.0020958225,0.0059864067,0.0007623799,0.0000320068,0.0067844795
65536,12,16384,0.0040836013,0.0132334138,0.0030117157,0.0020582315,0.0183128515
65536,12,65536,0.0045744331,0.0166122375,0.0091423705,0.0024572507,0.0282166137
262144,1,16,0.0016168253,0.0088056630,0.0084033750,0.0009085629,0.0185880024
262144,1,64,0.0015795108,0.0071510253,0.0123410034,0.0007395887,0.0203410123
262144,1,256,0.0015830779,0.0066288392,0.0161974551,0.0006972955,0.0235585442
262144,1,1024,0.0015806937,0.0065585485,0.0197034111,0.0006854602,0.0270096797
262144,1,4096,0.0015812843,0.0064583995,0.0232198632,0.0006841380,0.0304197323
262144,1,16384,0.0015819860,0.0061749090,0.0269297970,0.0006856370,0.0338514905
262144,1,65536,0.0015834197,0.0057959207,0.0307163342,0.0006876460,0.0372716509
262144,2,16,0.0008081842,0.0099615470,0.0042718913,0.0005047650,0.0152970069
262144,2,64,0.0008034991,0.0100488185,0.0062661687,0.0003777044,0.0168585534
262144,2,256,0.0008048713,0.0103569685,0.0081242658,0.0003523299,0.0188846949
262144,2,1024,0.0008087620,0.0114390763,0.0098915066,0.0003453279,0.0217150294
262144,2,4096,0.0008057344,0.0130131275,0.0116896735,0.0003439512,0.0250807828
262144,2,16384,0.0008077790,0.0157939661,0.0135438805,0.0003451425,0.0297073775
262144,2,65536,0.0008093666,0.0181057489,0.0154663756,0.0003457424,0.0339907849
262144,4,16,0.0004180918,0.0058967172,0.0021719663,0.0002941407,0.0089032351
262144,4,64,0.0004302782,0.0121480175,0.0031501317,0.0002077037,0.0157586788
262144,4,256,0.0004288971,0.0127602655,0.0041126650,0.0001910065,0.0171553519
262144,4,1024,0.0004292492,0.0159024134,0.0049972469,0.0001834884,0.0211459725
262144,4,4096,0.0004286360,0.0213557431,0.0059130274,0.0001847577,0.0275031640
262144,4,16384,0.0004326856,0.0262603766,0.0068822283,0.0001842024,0.0333860189
262144,4,65536,0.0004437603,0.0284477046,0.0078146653,0.0001857323,0.0365045478
262144,8,16,0.0002513152,0.0080279144,0.0011423316,0.0002330509,0.0101559496
262144,8,64,0.0002445237,0.0084848404,0.0015912047,0.0001205840,0.0104912174
262144,8,256,0.0002421627,0.0096488333,0.0020697230,0.0001053907,0.0119321842
262144,8,1024,0.0002429940,0.0128135181,0.0025416159,0.0000977980,0.0155004322
262144,8,4096,0.0002469604,0.0164675183,0.0030231894,0.0001008095,0.0196364491
262144,8,16384,0.0002515535,0.0233385817,0.0035408275,0.0001046698,0.0270511145
262144,8,65536,0.0002552509,0.0262907798,0.0078532761,0.0002045009,0.0343902108
262144,12,16,0.0035907725,0.0125304579,0.0024056566,0.0018047037,0.0175765595
262144,12,64,0.0111863165,0.0276756568,0.0080793237,0.0070449863,0.0431612452
262144,12,256,0.0116063019,0.0296994727,0.0094029836,0.0065078045,0.0457298678
262144,12,1024,0.0079986101,0.0242841775,0.0074350331,0.0040922488,0.0358591915
262144,12,4096,0.0077006415,0.0242960286,0.0062582077,0.0028936168,0.0334914806
262144,12,16384,0.0128510859,0.0452820907,0.0098566851,0.0072868991,0.0625067048
